Results,Entity,Line,Column,CheckID,Check Name,Ignored,Note,Severity
    "Violation: expand defined but not called.","expand","1894","38","RECOMMENDED_13","Unused Functions","","",""
    "Violation: getKindString defined but not called.","getKindString","1904","21","RECOMMENDED_13","Unused Functions","","",""
    "Violation: translate defined but not called.","translate","1962","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: apply defined but not called.","apply","1976","25","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","runner","1990","49","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: expand defined but not called.","expand","1999","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: getKindString defined but not called.","getKindString","2004","21","RECOMMENDED_13","Unused Functions","","",""
    "Violation: translate defined but not called.","translate","2021","18","RECOMMENDED_13","Unused Functions","","",""
    "Violation: translate defined but not called.","translate","2073","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: translate defined but not called.","translate","2090","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: translate defined but not called.","translate","2110","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: getReplacementTransform defined but not called.","getReplacementTransform","2142","57","RECOMMENDED_13","Unused Functions","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 2277","DataflowRunner.java","2149","0","RECOMMENDED_20","Duplicate Code","","",""
    "Violation: mapOutputs defined but not called.","mapOutputs","2149","50","RECOMMENDED_13","Unused Functions","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 2278","DataflowRunner.java","2150","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1872","DataflowRunner.java","2151","0","RECOMMENDED_20","Duplicate Code","","",""
    "Future work needed: key phrase 'to do' found","DataflowRunner.java","2155","2","RECOMMENDED_19","Comments Indicating Future Fixes","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 2292","DataflowRunner.java","2167","0","RECOMMENDED_20","Duplicate Code","","",""
    "Violation: expand defined but not called.","expand","2171","32","RECOMMENDED_13","Unused Functions","","",""
    "Violation: expand defined but not called.","expand","2196","53","RECOMMENDED_13","Unused Functions","","",""
    "Violation: populateDisplayData defined but not called.","populateDisplayData","2205","18","RECOMMENDED_13","Unused Functions","","",""
    "Violation: getKindString defined but not called.","getKindString","2215","18","RECOMMENDED_13","Unused Functions","","",""
    "Violation: translate defined but not called.","translate","2227","18","RECOMMENDED_13","Unused Functions","","",""
    "Violation: expand defined but not called.","expand","2244","26","RECOMMENDED_13","Unused Functions","","",""
    "Violation: processElement defined but not called.","processElement","2259","32","RECOMMENDED_13","Unused Functions","","",""
    "Violation: getReplacementTransform defined but not called.","getReplacementTransform","2270","57","RECOMMENDED_13","Unused Functions","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 2149","DataflowRunner.java","2277","0","RECOMMENDED_20","Duplicate Code","","",""
    "Violation: mapOutputs defined but not called.","mapOutputs","2277","50","RECOMMENDED_13","Unused Functions","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 2150","DataflowRunner.java","2278","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 2151","DataflowRunner.java","2279","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 2167","DataflowRunner.java","2292","0","RECOMMENDED_20","Duplicate Code","","",""
    "Violation: expand defined but not called.","expand","2296","32","RECOMMENDED_13","Unused Functions","","",""
    "Violation: create defined but not called.","create","2313","58","RECOMMENDED_13","Unused Functions","","",""
    "Violation: getView defined but not called.","getView","2323","30","RECOMMENDED_13","Unused Functions","","",""
    "Violation: getDataCoder defined but not called.","getDataCoder","2327","20","RECOMMENDED_13","Unused Functions","","",""
    "Violation: processElement defined but not called.","processElement","2332","16","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","c","2332","46","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","w","2332","63","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: toString defined but not called.","toString","2340","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: expand defined but not called.","expand","2384","39","RECOMMENDED_13","Unused Functions","","",""
    "Violation: getOriginalCombine defined but not called.","getOriginalCombine","2389","53","RECOMMENDED_13","Unused Functions","","",""
    "Violation: getReplacementTransform defined but not called.","getReplacementTransform","2402","8","RECOMMENDED_13","Unused Functions","","",""
    "Violation: mapOutputs defined but not called.","mapOutputs","2416","50","RECOMMENDED_13","Unused Functions","","",""
    "Violation: getReplacementTransform defined but not called.","getReplacementTransform","2432","68","RECOMMENDED_13","Unused Functions","","",""
    "Violation: mapOutputs defined but not called.","mapOutputs","2440","50","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","outputs","2441","41","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","newOutput","2441","56","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: verifyDoFnSupported defined but not called.","verifyDoFnSupported","2577","14","RECOMMENDED_13","Unused Functions","","",""
    "Violation: verifyStateSupportForWindowingStrategy defined but not called.","verifyStateSupportForWindowingStrategy","2621","14","RECOMMENDED_13","Unused Functions","","",""
  "<a id=""2"">C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\direct\DirectRunner.java</a>","","","","","","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\transforms\windowing\Window.java line: 35","DirectRunner.java","55","0","RECOMMENDED_20","Duplicate Code","","",""
    "Max Length(200) Exceeded: {'CountLine': 401} lines.","DirectRunner.java","0","0","RECOMMENDED_02","Files too long","","",""
    "Unreachable Code","run","0","0","RECOMMENDED_12","Unreachable Code","","",""
    "Violation: appliesTo defined but not called.","appliesTo","96","28","RECOMMENDED_13","Unused Functions","","",""
    "Violation: values defined but not called.","values","72","7","RECOMMENDED_13","Unused Functions","","",""
    "Violation: valueOf defined but not called.","valueOf","72","7","RECOMMENDED_13","Unused Functions","","",""
    "Violation: appliesTo defined but not called.","appliesTo","75","21","RECOMMENDED_13","Unused Functions","","",""
    "Violation: appliesTo defined but not called.","appliesTo","81","21","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","collection","75","46","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","graph","75","70","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","collection","96","53","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","graph","96","77","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","s","72","7","RECOMMENDED_18","Unused Local Variables","","",""
    "Future work needed: key phrase 'todo' found","DirectRunner.java","68","13","RECOMMENDED_19","Comments Indicating Future Fixes","","",""
    "Violation: fromOptions defined but not called.","fromOptions","146","29","RECOMMENDED_13","Unused Functions","","",""
    "Violation: getClockSupplier defined but not called.","getClockSupplier","155","18","RECOMMENDED_13","Unused Functions","","",""
    "Violation: setClockSupplier defined but not called.","setClockSupplier","159","7","RECOMMENDED_13","Unused Functions","","",""
    "Violation: run defined but not called.","run","164","30","RECOMMENDED_13","Unused Functions","","",""
    "Future work needed: key phrase 'todo' found","DirectRunner.java","256","4","RECOMMENDED_19","Comments Indicating Future Fixes","","",""
    "Violation: getState defined but not called.","getState","324","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: metrics defined but not called.","metrics","332","25","RECOMMENDED_13","Unused Functions","","",""
    "Violation: cancel defined but not called.","cancel","349","17","RECOMMENDED_13","Unused Functions","","",""
    "Violation: get defined but not called.","get","397","17","RECOMMENDED_13","Unused Functions","","",""
  "<a id=""3"">C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\coders\Coder.java</a>","","","","","","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\transforms\Combine.java line: 72","Coder.java","37","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\test\java\org\apache\beam\runners\direct\DirectRunnerTest.java line: 30","Coder.java","23","0","RECOMMENDED_20","Duplicate Code","","",""
    "Max Length(200) Exceeded: {'CountLine': 350} lines.","Coder.java","0","0","RECOMMENDED_02","Files too long","","",""
    "Violation: nested defined but not called.","nested","89","19","RECOMMENDED_13","Unused Functions","","",""
    "Violation: equals defined but not called.","equals","94","19","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","value","123","32","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","outStream","123","52","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","context","133","62","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","inStream","147","39","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","context","158","48","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: getCoderArguments defined but not called.","getCoderArguments","168","43","RECOMMENDED_13","Unused Functions","","",""
    "Violation: verifyDeterministic defined but not called.","verifyDeterministic","190","21","RECOMMENDED_13","Unused Functions","","",""
    "Violation: verifyDeterministic defined but not called.","verifyDeterministic","205","21","RECOMMENDED_13","Unused Functions","","",""
    "Violation: structuralValue defined but not called.","structuralValue","249","16","RECOMMENDED_13","Unused Functions","","",""
    "Violation: isRegisterByteSizeObserverCheap defined but not called.","isRegisterByteSizeObserverCheap","276","17","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","value","276","51","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: getEncodedTypeDescriptor defined but not called.","getEncodedTypeDescriptor","306","27","RECOMMENDED_13","Unused Functions","","",""
    "Violation: NonDeterministicException defined but not called.","NonDeterministicException","324","11","RECOMMENDED_13","Unused Functions","","",""
    "Violation: NonDeterministicException defined but not called.","NonDeterministicException","328","11","RECOMMENDED_13","Unused Functions","","",""
  "<a id=""4"">C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\extensions\euphoria\core\annotation\audience\Audience.java</a>","","","","","","","",""
    "Violation: value defined but not called.","value","32","9","RECOMMENDED_13","Unused Functions","","",""
    "Violation: values defined but not called.","values","35","7","RECOMMENDED_13","Unused Functions","","",""
    "Violation: valueOf defined but not called.","valueOf","35","7","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","s","35","7","RECOMMENDED_18","Unused Local Variables","","",""
